,name,rating,reviews,type,hq,old,employees
9955,Flatworld Mortgage Proce...,3.3,27 Reviews,Private,Bengaluru,501-1000 employees,
9956,Assam Rifles,4.6,27 Reviews,Shillong + 3 more,,,
9957,Skandhanshi Infra Projec...,4.4,27 Reviews,Hyderabad + 3 more,,,
9958,Skylark Infra Engineerin...,3.9,27 Reviews,Amravati + 3 more,,,
9959,NLMK India,3.1,27 Reviews,Navi Mumbai + 1 more,201-500 employees,,
9960,Archen Engineering Consu...,4.4,27 Reviews,Mumbai,,,
9961,Jubilant Consumer,4.3,27 Reviews,Private,Noida + 5 more,12 years old,
9962,Red Carpet,3.8,27 Reviews,Private,Mumbai + 5 more,,
9963,Oloop Technology Solutio...,4.0,27 Reviews,Pune + 1 more,,,
9964,Merino Laminates,3.7,27 Reviews,Ahmedabad + 11 more,,,
9965,Zydus Animal Health,4.4,27 Reviews,Hyderabad + 6 more,,,
9966,Pin Click,2.1,27 Reviews,Bangalore + 2 more,7 years old,51-200 employees,
9967,Ulink Agritech,4.0,27 Reviews,Jaipur + 4 more,,,
9968,EFECO,4.2,27 Reviews,Private,Dubai + 3 more,,
9969,Al Arrab Contracting Com...,4.1,27 Reviews,Private,Riyadh + 1 more,37 years old,5001-10000 employees
9970,Globacom,3.4,27 Reviews,Private,Lagos + 2 more,1001-5000 employees,
9971,Eastern Coalfields,4.5,27 Reviews,Asansol + 2 more,,,
9972,SSK Group,3.5,27 Reviews,Private,Pune + 13 more,501-1000 employees,
9973,Daiichi N Horizon Autoco...,3.6,27 Reviews,Mumbai + 2 more,,,
9974,ACN Healthcare RCM Servi...,3.6,27 Reviews,Hyderabad + 1 more,,,
9975,Metl,2.7,27 Reviews,Private,Mumbai + 2 more,10000+ employees,
9976,Bechtel Enka,4.4,27 Reviews,New Delhi + 3 more,,,
9977,Tranxit Technology Solut...,4.7,27 Reviews,Chennai,,,
9978,Internshala,4.5,27 Reviews,Private,Gurgaon + 8 more,10 years old,51-200 employees
